City,Date,PM25,PM10,Temperature,Humidity,AQI
Chennai,2026-06-02 11:58:41.861102,130,146,34,47,138
Delhi,2026-06-04 11:58:41.861102,119,94,39,57,106
Chennai,2026-05-24 11:58:41.861102,159,107,32,45,133
Mumbai,2026-05-26 11:58:41.861102,80,182,36,59,131
Delhi,2026-05-24 11:58:41.861102,141,49,25,45,95
Chennai,2026-06-03 11:58:41.861102,54,96,20,60,75
Bangalore,2026-05-19 11:58:41.861102,35,123,24,40,79
Delhi,2026-05-22 11:58:41.861102,76,57,29,72,66
Delhi,2026-06-11 11:58:41.861102,134,65,37,50,99
Hyderabad,2026-05-31 11:58:41.861102,193,123,37,87,158
Mumbai,2026-06-05 11:58:41.861102,119,91,21,62,105
Mumbai,2026-05-19 11:58:41.861102,102,70,31,58,86
Bangalore,2026-05-24 11:58:41.861102,162,138,26,59,150
Chennai,2026-06-06 11:58:41.861102,175,157,20,89,166
Delhi,2026-06-04 11:58:41.861102,54,108,38,73,81
Hyderabad,2026-06-08 11:58:41.861102,92,231,20,73,161
Delhi,2026-05-21 11:58:41.861102,190,217,23,67,203
Chennai,2026-05-24 11:58:41.861102,30,185,28,46,107
Mumbai,2026-06-07 11:58:41.861102,82,112,26,85,97
Bangalore,2026-06-07 11:58:41.861102,33,47,28,79,40
Mumbai,2026-05-27 11:58:41.861102,127,117,35,41,122
Chennai,2026-06-08 11:58:41.861102,35,156,35,43,95
Mumbai,2026-05-27 11:58:41.861102,134,163,33,52,148
Hyderabad,2026-05-20 11:58:41.861102,141,217,28,83,179
Bangalore,2026-06-02 11:58:41.861102,36,235,31,70,135
Hyderabad,2026-05-29 11:58:41.861102,145,244,28,42,194
Bangalore,2026-05-30 11:58:41.861102,39,236,33,45,137
Mumbai,2026-05-26 11:58:41.861102,99,105,37,48,102
Delhi,2026-06-01 11:58:41.861102,91,40,23,52,65
Bangalore,2026-05-19 11:58:41.861102,119,210,22,76,164
Chennai,2026-05-28 11:58:41.861102,49,138,20,60,93
Hyderabad,2026-05-21 11:58:41.861102,41,159,23,68,100
Delhi,2026-05-23 11:58:41.861102,40,37,29,44,38
Bangalore,2026-05-27 11:58:41.861102,39,176,24,83,107
Mumbai,2026-06-10 11:58:41.861102,100,222,27,82,161
Hyderabad,2026-06-09 11:58:41.861102,171,222,24,58,196
Bangalore,2026-05-20 11:58:41.861102,191,144,38,68,167
Hyderabad,2026-05-19 11:58:41.861102,46,177,35,58,111
Hyderabad,2026-06-10 11:58:41.861102,103,80,23,83,91
Bangalore,2026-06-09 11:58:41.861102,44,129,31,46,86
Delhi,2026-06-02 11:58:41.861102,127,196,29,83,161
Mumbai,2026-06-09 11:58:41.861102,171,225,39,75,198
Delhi,2026-05-20 11:58:41.861102,81,39,32,87,60
Hyderabad,2026-06-17 11:58:41.861102,127,125,27,43,126
Delhi,2026-05-22 11:58:41.861102,189,209,38,82,199
Hyderabad,2026-06-06 11:58:41.861102,85,192,27,69,138
Mumbai,2026-06-01 11:58:41.861102,98,49,28,69,73
Mumbai,2026-05-28 11:58:41.861102,74,129,27,79,101
Bangalore,2026-06-08 11:58:41.861102,46,64,38,85,55
Chennai,2026-06-04 11:58:41.861102,116,85,23,44,100
Mumbai,2026-05-30 11:58:41.861102,103,56,22,40,79
Hyderabad,2026-06-12 11:58:41.861102,100,83,23,73,91
Hyderabad,2026-05-29 11:58:41.861102,112,208,32,84,160
Delhi,2026-05-21 11:58:41.861102,113,228,28,45,170
Mumbai,2026-05-26 11:58:41.861102,193,123,31,58,158
Mumbai,2026-05-25 11:58:41.861102,99,166,28,79,132
Chennai,2026-06-01 11:58:41.861102,194,44,39,53,119
Mumbai,2026-06-05 11:58:41.861102,113,135,39,55,124
Delhi,2026-06-07 11:58:41.861102,35,31,25,77,33
Delhi,2026-06-14 11:58:41.861102,117,176,32,58,146
Mumbai,2026-05-29 11:58:41.861102,74,45,34,84,59
Mumbai,2026-06-06 11:58:41.861102,85,30,29,60,57
Hyderabad,2026-06-02 11:58:41.861102,81,90,20,77,85
Mumbai,2026-06-16 11:58:41.861102,50,238,33,76,144
Hyderabad,2026-06-11 11:58:41.861102,53,192,36,70,122
Chennai,2026-05-26 11:58:41.861102,21,71,37,44,46
Hyderabad,2026-05-29 11:58:41.861102,45,232,27,73,138
Bangalore,2026-05-23 11:58:41.861102,118,167,25,42,142
Mumbai,2026-06-06 11:58:41.861102,41,227,26,61,134
Mumbai,2026-06-08 11:58:41.861102,54,238,27,89,146
Bangalore,2026-05-26 11:58:41.861102,171,201,39,64,186
Chennai,2026-05-23 11:58:41.861102,47,114,22,49,80
Delhi,2026-05-19 11:58:41.861102,130,174,23,45,152
Delhi,2026-05-27 11:58:41.861102,45,62,22,86,53
Chennai,2026-06-07 11:58:41.861102,124,84,38,73,104
Delhi,2026-06-05 11:58:41.861102,170,96,24,42,133
Hyderabad,2026-06-10 11:58:41.861102,93,153,22,51,123
Chennai,2026-06-10 11:58:41.861102,76,47,25,42,61
Delhi,2026-06-14 11:58:41.861102,70,117,28,85,93
Bangalore,2026-06-13 11:58:41.861102,95,141,24,40,118
Delhi,2026-05-29 11:58:41.861102,36,213,23,69,124
Mumbai,2026-05-31 11:58:41.861102,28,134,25,83,81
Hyderabad,2026-06-05 11:58:41.861102,182,218,38,51,200
Delhi,2026-05-22 11:58:41.861102,30,46,30,74,38
Delhi,2026-05-29 11:58:41.861102,57,64,24,68,60
Chennai,2026-06-10 11:58:41.861102,169,133,27,68,151
Bangalore,2026-06-12 11:58:41.861102,70,169,36,50,119
Delhi,2026-06-07 11:58:41.861102,107,89,21,51,98
Bangalore,2026-06-04 11:58:41.872998,65,243,20,62,154
Mumbai,2026-05-21 11:58:41.872998,82,178,27,69,130
Chennai,2026-05-21 11:58:41.872998,181,116,25,75,148
Mumbai,2026-06-05 11:58:41.872998,102,200,34,56,151
Chennai,2026-06-01 11:58:41.872998,196,208,33,50,202
Bangalore,2026-06-16 11:58:41.872998,106,168,29,44,137
Bangalore,2026-06-03 11:58:41.872998,34,202,38,45,118
Chennai,2026-06-10 11:58:41.872998,160,112,23,58,136
Delhi,2026-05-28 11:58:41.872998,189,86,34,86,137
Hyderabad,2026-06-07 11:58:41.872998,155,62,34,45,108
Bangalore,2026-06-06 11:58:41.872998,59,79,38,81,69
Mumbai,2026-06-10 11:58:41.872998,105,170,33,52,137
Hyderabad,2026-05-20 11:58:41.872998,102,55,24,77,78
Delhi,2026-05-26 11:58:41.872998,89,160,26,71,124
Delhi,2026-05-21 11:58:41.872998,158,45,39,55,101
Chennai,2026-05-29 11:58:41.872998,130,144,27,69,137
Chennai,2026-06-01 11:58:41.872998,66,241,38,58,153
Hyderabad,2026-05-25 11:58:41.872998,161,154,25,40,157
Mumbai,2026-06-01 11:58:41.872998,28,44,25,44,36
Chennai,2026-06-11 11:58:41.872998,21,177,33,77,99
Hyderabad,2026-06-12 11:58:41.872998,171,165,22,82,168
Mumbai,2026-06-14 11:58:41.872998,60,77,35,48,68
Mumbai,2026-05-26 11:58:41.872998,192,130,20,47,161
Chennai,2026-05-19 11:58:41.872998,198,125,25,43,161
Bangalore,2026-05-30 11:58:41.872998,180,191,36,68,185
Delhi,2026-05-30 11:58:41.872998,177,100,29,84,138
Hyderabad,2026-06-14 11:58:41.872998,167,192,30,84,179
Hyderabad,2026-06-12 11:58:41.872998,128,199,35,41,163
Delhi,2026-05-27 11:58:41.872998,134,215,32,87,174
Mumbai,2026-06-13 11:58:41.872998,105,84,29,75,94
Hyderabad,2026-06-15 11:58:41.872998,150,147,38,54,148
Chennai,2026-05-26 11:58:41.872998,147,56,27,75,101
Mumbai,2026-06-03 11:58:41.872998,154,41,26,83,97
Chennai,2026-06-07 11:58:41.872998,192,94,25,81,143
Mumbai,2026-06-14 11:58:41.872998,186,72,28,83,129
Delhi,2026-06-02 11:58:41.872998,21,135,26,87,78
Chennai,2026-05-23 11:58:41.872998,198,199,22,42,198
Bangalore,2026-05-19 11:58:41.872998,40,75,32,82,57
Chennai,2026-05-31 11:58:41.872998,60,111,36,88,85
Bangalore,2026-06-14 11:58:41.872998,179,88,35,45,133
Bangalore,2026-06-10 11:58:41.872998,99,94,32,83,96
Chennai,2026-06-05 11:58:41.872998,126,103,34,51,114
Bangalore,2026-06-09 11:58:41.872998,186,145,20,59,165
Mumbai,2026-06-07 11:58:41.872998,41,217,21,87,129
Delhi,2026-05-25 11:58:41.872998,144,228,33,82,186
Chennai,2026-05-24 11:58:41.872998,45,102,33,59,73
Chennai,2026-06-09 11:58:41.872998,58,227,37,60,142
Hyderabad,2026-05-19 11:58:41.872998,41,114,27,66,77
Chennai,2026-06-14 11:58:41.872998,102,248,32,65,175
Bangalore,2026-06-17 11:58:41.872998,191,59,21,88,125
Delhi,2026-06-07 11:58:41.872998,93,134,38,61,113
Bangalore,2026-06-12 11:58:41.872998,156,217,31,44,186
Chennai,2026-06-02 11:58:41.872998,183,220,30,87,201
Chennai,2026-06-04 11:58:41.872998,90,128,28,79,109
Delhi,2026-06-13 11:58:41.872998,53,229,38,47,141
Bangalore,2026-05-31 11:58:41.872998,139,134,32,60,136
